index,True_False_Ratio,hour_per_day,positive,negative,cases_per_100000,state_OR,is_claim,price_alt,is_delivery,is_pickup,updated_review_count,updated_rating,is_open_api
199,0.285714286,10.42857143,0.029284165,0.017353579,5971.1,1,0,1.78,0,0,14,2.5,1
200,0.75,13.71428571,0.058187864,0.018287614,12351.68185,0,1,2,0,0,73,4.5,1
201,0.555555556,9.714285714,0.056022409,0.014005602,4082.7,1,1,1,0,0,33,5,1
202,0.470588235,8.4,0.069387755,0.010884354,12351.68185,0,1,2,0,0,103,4,1
203,0.363636364,10.28571429,0.051616267,0.011991658,4019.4,1,1,2,1,0,42,4,0
204,0.380952381,11.5,0.066472303,0.011661808,11418.51879,0,1,1,1,0,39,4.5,1
205,0,10.71428571,0.041570439,0.014626636,6634,1,0,1.78,0,0,11,2.5,1
206,0.375,6.6,0.090614887,0,8968.74973,0,1,2,0,0,49,3.5,0
207,0.382352941,10.21428571,0.040223136,0.022313564,6135.892307,0,1,2,1,1,135,3.5,1
208,0,13.42857143,0.059347181,0.013353116,4872.6,1,1,1.78,0,0,40,5,1
209,0.2,24.5,0.0475,0.01,4082.7,1,1,2,0,0,111,4.5,1
210,0.458333333,9.5,0.056947276,0.010049519,5110.7,1,1,2,1,1,117,4.5,1
211,0.315789474,7.428571429,0.045787909,0.013676908,5110.7,1,1,2,0,0,36,4.5,0
212,0.40625,10.83333333,0.047058824,0.021960784,9026.812652,0,1,1,1,1,127,4.5,1
213,1,6,0.045775958,0.014142166,4732.8,1,1,1.78,1,0,29,4,1
214,0.5,9.571428571,0.038446751,0.034986544,13611.53045,0,1,1.78,0,0,179,2.5,1
215,0.5,6.142857143,0.02991453,0.036324786,4065.4,1,1,1,0,0,99,3.5,0
216,0.4,11,0.048372715,0.018056175,9026.812652,0,1,2,1,0,332,3.5,1
217,0.454545455,8.8,0.088589653,0.010630758,8544.1,1,1,2,0,0,76,4.5,1
218,0,9.785714286,0.076515152,0.011363636,12351.68185,0,0,1.78,0,0,36,4,1
219,0.151515152,12.16666667,0.062441167,0.02196423,5110.7,1,1,2,1,1,50,5,1
220,0.347826087,11,0.055774278,0.009186352,5143.240095,0,1,1.78,1,1,41,4.5,1
221,0.424242424,10.28571429,0.049160671,0.020383693,4876,1,1,1,1,1,193,4,0
222,0.366666667,0,0.054223149,0.017726799,12351.68185,0,1,1,0,0,275,4,1
223,0.666666667,11.2,0.057097118,0.021344717,9678,1,1,1.78,0,0,42,5,1
224,0.411764706,7.357142857,0.051106973,0.019449617,0,0,1,2,1,1,315,4.5,1
225,0.258064516,12.92857143,0.052185258,0.012393999,11419.27286,0,1,2,1,0,183,4,1
226,0.3,14.28571429,0.053537285,0.011472275,12351.68185,0,1,1.78,0,0,99,3.5,0
227,0.304347826,12,0.062291435,0.015572859,10565.5,1,0,1,1,0,122,3.5,1
228,0.258064516,5,0.053819444,0.026041667,7506,1,1,1,1,0,103,4.5,1
229,0.75,8.142857143,0.039594843,0.021178637,10515.1,1,1,1.78,0,0,43,4.5,1
230,0.45,8,0.05208455,0.011094243,8968.74973,0,1,2,1,1,139,4.5,1
231,1,13,0.066582915,0.00879397,0,0,1,1.78,1,1,14,4,1
232,1,0,0.027617952,0.024165708,9840.8,1,1,1.78,0,0,22,2,1
233,0.235294118,12.28571429,0.055226293,0.009698276,7404.4,1,1,1,1,1,73,4.5,1
234,0.333333333,24,0.029992685,0.018471105,7421.857757,0,1,1.78,0,0,196,4,1
235,0.387096774,12.21428571,0.051146384,0.02292769,10488.65209,0,0,1,1,1,127,3.5,1
236,0.428571429,11.28571429,0.019585253,0.024193548,19684.08614,0,1,1.78,0,0,55,2.5,0
237,1,24,0.036666667,0.033333333,11419.27286,0,1,1.78,0,0,69,4.5,1
238,0.451612903,8.285714286,0.060309698,0.01792991,7506,1,1,1,1,1,142,4,1
239,0.434782609,10.28571429,0.042446941,0.02247191,10328.2,1,0,1,1,0,60,4,0
240,0.454545455,12,0.056291391,0.01214128,7636.1,1,1,2,0,0,41,4,1
241,0.266666667,8,0.074257426,0.007425743,12351.68185,0,1,1,0,0,26,4.5,1
242,0.4,9,0.06420765,0.009562842,4019.4,1,1,2,0,0,60,4.5,1
243,0.4375,8,0.0508647,0.014750763,7435.4,1,1,1.78,1,0,49,4,1
244,0.366666667,11.42857143,0.049836982,0.012575687,12351.68185,0,1,2,1,1,170,4,1
